text,sentiment_compound,sentiment_label,distortion_always_negative,distortion_expecting_worst,distortion_blaming_yourself,distortion_assuming_others,distortion_all_or_nothing,consecutive_negative_days,risk_level
"I guess today was okay, just normal.",-0.001,Neutral,0,0,0,0,0,6,Medium
It's my fault they are mad at me.,-0.191,Negative,0,0,0,0,0,7,Medium
"I guess today was okay, just normal.",-0.075,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.015,Neutral,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.437,Positive,0,0,0,0,0,1,Low
Things are getting better step by step.,0.432,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.35,Positive,0,0,0,0,0,1,Low
"If it's not perfect, it's a total failure.",-0.885,Negative,0,0,0,0,0,3,Medium
I had a good time with my friends.,0.424,Positive,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.141,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.018,Neutral,0,0,0,0,0,2,Medium
"If it's not perfect, it's a total failure.",-0.728,Negative,1,1,0,1,1,2,Medium
"Nothing matters anymore, it's all ruined.",-0.566,Negative,1,0,0,0,1,6,High
"I guess today was okay, just normal.",0.037,Neutral,0,0,0,0,0,1,Low
I am so stressed and tired of this.,-0.967,Negative,1,0,0,0,0,2,Medium
I had a good time with my friends.,0.798,Positive,0,0,0,0,0,0,Low
Things are getting better step by step.,0.844,Positive,0,0,0,0,0,2,Medium
I am so stressed and tired of this.,-0.671,Negative,1,1,0,0,0,6,High
I am so stressed and tired of this.,-0.76,Negative,1,0,0,0,0,5,Medium
"I guess today was okay, just normal.",0.076,Neutral,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.082,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.05,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.087,Neutral,0,0,0,0,0,3,Medium
"I will never succeed, this always happens.",-0.491,Negative,0,0,1,1,0,6,Medium
"I guess today was okay, just normal.",-0.089,Neutral,0,0,0,0,0,7,Medium
"Nothing matters anymore, it's all ruined.",-0.883,Negative,0,0,0,0,0,1,Medium
"I guess today was okay, just normal.",0.058,Neutral,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.339,Positive,0,0,0,0,0,2,Medium
"I will never succeed, this always happens.",-0.368,Negative,1,0,0,1,0,5,Medium
"I guess today was okay, just normal.",-0.044,Neutral,0,0,0,0,0,4,Medium
"I will never succeed, this always happens.",-0.705,Negative,0,0,0,1,1,2,Medium
"I feel great today, everything went well.",0.18,Positive,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.782,Positive,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.342,Positive,0,0,0,0,0,0,Low
I am so stressed and tired of this.,-0.285,Negative,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.461,Positive,0,0,0,0,0,1,Low
They probably think I'm stupid.,-0.139,Negative,0,0,0,0,0,4,Medium
"I will never succeed, this always happens.",-0.176,Negative,0,0,0,0,0,5,Medium
"I guess today was okay, just normal.",0.016,Neutral,0,0,0,0,0,2,Medium
"If it's not perfect, it's a total failure.",-0.942,Negative,1,0,0,0,0,3,Medium
They probably think I'm stupid.,-0.304,Negative,1,0,0,0,0,4,Medium
"I guess today was okay, just normal.",-0.052,Neutral,0,0,0,0,0,7,Medium
"If it's not perfect, it's a total failure.",-0.263,Negative,0,0,1,1,0,3,Medium
"I guess today was okay, just normal.",0.094,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.039,Neutral,0,0,0,0,0,1,Low
They probably think I'm stupid.,-0.651,Negative,0,0,0,0,1,3,Medium
Things are getting better step by step.,0.851,Positive,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.989,Positive,0,0,0,0,0,2,Medium
It's my fault they are mad at me.,-0.176,Negative,0,0,0,0,0,4,Medium
I had a good time with my friends.,0.395,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.052,Neutral,0,0,0,0,0,1,Low
Things are getting better step by step.,0.16,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.098,Neutral,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.003,Neutral,0,0,0,0,0,2,Medium
They probably think I'm stupid.,-0.865,Negative,1,0,0,0,0,6,Medium
"I guess today was okay, just normal.",-0.093,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.048,Neutral,0,0,0,0,0,0,Low
"Nothing matters anymore, it's all ruined.",-0.3,Negative,0,0,1,0,0,7,Medium
"I guess today was okay, just normal.",0.034,Neutral,0,0,0,0,0,0,Low
"If it's not perfect, it's a total failure.",-0.236,Negative,0,0,1,1,0,2,Medium
"I guess today was okay, just normal.",0.077,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.035,Neutral,0,0,0,0,0,0,Low
"I will never succeed, this always happens.",-0.287,Negative,0,0,0,1,0,2,Medium
Things are getting better step by step.,0.243,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.067,Neutral,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.399,Positive,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.817,Positive,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.35,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.095,Neutral,0,0,0,0,0,7,Medium
"If it's not perfect, it's a total failure.",-0.515,Negative,0,0,0,1,1,3,High
"I guess today was okay, just normal.",0.011,Neutral,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.319,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.046,Neutral,0,0,0,0,0,5,Medium
"I feel great today, everything went well.",0.94,Positive,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.156,Positive,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.449,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.03,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.048,Neutral,0,0,0,0,0,3,Medium
They probably think I'm stupid.,-0.609,Negative,0,1,0,0,1,6,High
"I feel great today, everything went well.",0.415,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.237,Positive,0,0,0,0,0,0,Low
Things are getting better step by step.,0.1,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.002,Neutral,0,0,0,0,0,1,Low
It's my fault they are mad at me.,-0.542,Negative,0,0,0,0,0,3,Medium
"I guess today was okay, just normal.",-0.031,Neutral,0,0,0,0,0,3,Medium
"I feel great today, everything went well.",0.395,Positive,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.47,Positive,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.142,Positive,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.341,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.005,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.082,Neutral,0,0,0,0,0,1,Low
"I will never succeed, this always happens.",-0.756,Negative,0,0,0,0,0,1,Medium
Things are getting better step by step.,0.205,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.024,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.091,Neutral,0,0,0,0,0,3,Medium
"Nothing matters anymore, it's all ruined.",-0.525,Negative,0,1,1,0,0,7,High
Things are getting better step by step.,0.882,Positive,0,0,0,0,0,0,Low
"If it's not perfect, it's a total failure.",-0.158,Negative,0,0,0,0,0,6,Medium
"If it's not perfect, it's a total failure.",-0.98,Negative,0,0,1,0,1,5,High
"I will never succeed, this always happens.",-0.563,Negative,0,1,0,0,1,7,High
"I guess today was okay, just normal.",-0.037,Neutral,0,0,0,0,0,6,Medium
I had a good time with my friends.,0.184,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.078,Neutral,0,0,0,0,0,1,Low
I am so stressed and tired of this.,-0.952,Negative,1,1,0,0,0,3,High
"I guess today was okay, just normal.",-0.002,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.073,Neutral,0,0,0,0,0,2,Medium
"I will never succeed, this always happens.",-0.282,Negative,0,0,0,1,0,7,Medium
It's my fault they are mad at me.,-0.447,Negative,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.006,Neutral,0,0,0,0,0,1,Low
I had a good time with my friends.,0.299,Positive,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.901,Positive,0,0,0,0,0,2,Medium
I am so stressed and tired of this.,-0.529,Negative,0,1,0,1,0,6,High
"I guess today was okay, just normal.",0.086,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.078,Neutral,0,0,0,0,0,2,Medium
"I will never succeed, this always happens.",-0.114,Negative,0,0,0,0,0,3,Medium
"I will never succeed, this always happens.",-0.203,Negative,0,0,1,0,0,1,Medium
I am so stressed and tired of this.,-0.859,Negative,1,1,0,0,1,1,Medium
I had a good time with my friends.,0.63,Positive,0,0,0,0,0,2,Medium
They probably think I'm stupid.,-0.111,Negative,0,0,0,0,0,7,Medium
I am so stressed and tired of this.,-0.696,Negative,0,0,0,1,0,4,Medium
"Nothing matters anymore, it's all ruined.",-0.166,Negative,0,0,0,0,0,6,Medium
"I guess today was okay, just normal.",-0.062,Neutral,0,0,0,0,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.607,Negative,1,1,0,1,0,6,High
Things are getting better step by step.,0.276,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.084,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.056,Neutral,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.048,Neutral,0,0,0,0,0,7,Medium
"If it's not perfect, it's a total failure.",-0.353,Negative,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.25,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.015,Neutral,0,0,0,0,0,2,Medium
"I will never succeed, this always happens.",-0.485,Negative,1,1,1,0,0,2,Medium
"I guess today was okay, just normal.",0.038,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.091,Neutral,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.328,Positive,0,0,0,0,0,0,Low
"Nothing matters anymore, it's all ruined.",-0.362,Negative,0,0,0,0,0,5,Medium
I had a good time with my friends.,0.459,Positive,0,0,0,0,0,2,Medium
I am so stressed and tired of this.,-0.278,Negative,0,0,0,0,0,7,Medium
"I feel great today, everything went well.",0.3,Positive,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.906,Positive,0,0,0,0,0,0,Low
They probably think I'm stupid.,-0.393,Negative,0,0,0,0,0,7,Medium
I had a good time with my friends.,0.383,Positive,0,0,0,0,0,1,Low
"I will never succeed, this always happens.",-0.77,Negative,0,0,0,0,0,5,Medium
It's my fault they are mad at me.,-0.509,Negative,0,0,0,0,0,4,Medium
I am so stressed and tired of this.,-0.314,Negative,0,0,0,0,0,7,Medium
"I guess today was okay, just normal.",0.081,Neutral,0,0,0,0,0,2,Medium
It's my fault they are mad at me.,-0.6,Negative,0,1,1,0,1,2,Medium
Things are getting better step by step.,0.789,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.813,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.069,Neutral,0,0,0,0,0,6,Medium
"If it's not perfect, it's a total failure.",-0.499,Negative,1,1,0,1,0,2,Medium
